Lat,Long,ISP,Hosting,IP
41.3497,-88.8415,ONSH,false,66.146.193.33
50.0996,8.63573,LeaseWeb DE,true,46.165.230.5
19.42,-99.1663,"Axtel, S.A.B. de C.V.",false,200.56.44.184
52.3667,4.89454,Markus Koch,false,185.220.101.129
52.3667,4.89454,Markus Koch,false,185.220.101.3
40.7433,-74.0079,The Calyx Institute,false,185.220.103.6
45.4654,9.18592,OVH SAS,true,149.202.238.204
22.4932,114.146,Tele Asia Limited,true,103.253.41.98
52.3818,4.89025,SURFnet bv,false,192.42.116.18
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.46
48.1946,16.3684,Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,false,109.70.100.38
32.7767,-96.797,OC1-SolarVPS,true,65.181.123.254
52.3667,4.89454,Markus Koch,false,185.220.101.21
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.251
55.6667,12.5833,31173 Services AB,true,45.129.56.200
52.3667,4.89454,Markus Koch,false,185.220.101.20
50.8503,4.35172,EstNOC OY,false,45.128.133.242
52.3818,4.89025,SURFnet bv,false,192.42.116.23
48.8607,2.3281,SCALEWAY,true,51.158.111.157
52.3667,4.89454,Markus Koch,false,185.220.101.4
50.4544,30.4745,Epinatura LLC,false,193.218.118.130
36.1697,-115.1236,FranTech Solutions,true,209.141.39.33
52.3667,4.89454,Markus Koch,false,185.220.101.138
47.0056,28.8575,I.C.S. Trabia-Network S.R.L.,true,178.17.170.164
1.35208,103.82,"Linode, LLC",true,139.162.10.72
52.3667,4.89454,Markus Koch,false,185.220.101.144
49.405,11.1617,Contabo GmbH,true,5.189.146.133
50.4544,30.4745,Epinatura LLC,false,193.218.118.131
49.7865,6.08994,FranTech Solutions,true,107.189.10.42
40.7038,-74.0138,FranTech Solutions,true,198.98.61.88
52.3818,4.89025,SURFnet bv,false,192.42.116.17
50.0263,10.5158,F3 Netze e.V.,false,185.220.100.244
44.418,26.1691,FlokiNET ehf,true,185.100.85.101
44.4162,26.0407,SC Fastweb SRL,false,193.169.145.66
52.3667,4.89454,Markus Koch,false,185.220.101.14
59.9711,30.2977,Trader soft LLC,true,89.223.88.117
49.7662,-97.1637,Hextet Systems,true,192.160.102.170
49.405,11.1617,Contabo GmbH,true,167.86.94.107
31.5503,74.3647,Apollo,false,202.165.228.161
52.3667,4.89454,Markus Koch,false,185.220.101.18
52.3591,4.793,Spectre Operations B.V.,false,45.66.35.35
47.6036,-122.336,Emerald Onion,true,23.129.64.217
40.7433,-74.0079,The Calyx Institute,false,185.220.103.8
49.0291,8.35695,netcup GmbH,true,46.232.249.138
-6.84196,106.725,PT Cloud Hosting Indonesia,true,103.28.53.138
38.8339,-104.821,The Calyx Institute,false,162.247.74.202
52.3667,4.89454,Markus Koch,false,185.220.101.4
51.5523,4.46279,NForce Entertainment B.V.,true,46.166.139.111
52.3759,4.8975,Online S.A.S.,true,51.15.117.50
48.7808,-123.7037,OVH SAS,true,51.79.53.145
